price,types,address,latitude,longitude,date,beds,baths,sq.,bath,reception,receptions,bed,total_Beds,total_Baths,total_Receptions,FlatType,index
191250,2 bed flat for sale ,"Chancery Building, Wandsworth, London SW11",51.481577,-0.135498,9/2/2021,2,0,807,1,0,0,0,2,1,0,flat,152
475000,2 bed flat for sale ,"Denmark Hill, London SE5",51.461101,-0.094043,9/2/2021,2,0,0,1,0,0,0,2,1,0,flat,153
840000,2 bed flat for sale ,"Pinto Tower, Nine Elms Point, Nine Elms SW8",51.48153,-0.127924,9/2/2021,2,2,0,0,1,0,0,2,2,1,flat,154
615000,2 bed flat for sale ,"Bollo Lane, Acton, London W3",51.501862,-0.278201,9/2/2021,2,2,798,0,0,0,0,2,2,0,flat,155
485000,1 bed flat for sale ,"Bollo Lane, Acton, London W3",51.501862,-0.278201,9/2/2021,0,0,535,1,0,0,1,1,1,0,flat,156
1175000,4 bed terraced house for sale ,"Brocklebank Road, Earlsfield SW18",51.449462,-0.185756,9/2/2021,4,2,"1,345",0,1,0,0,4,2,1,terraced house,157
1550000,5 bed detached house for sale ,"Cole Park Gardens, Twickenham TW1",51.457433,-0.328129,9/2/2021,5,3,0,0,0,3,0,5,3,3,detached house,158
1400000,4 bed semi-detached house for sale ,"Atbara Road, Teddington TW11",51.424447,-0.318525,9/2/2021,4,0,0,1,0,2,0,4,1,2,semi-detached house,159
769000,2 bed flat for sale ,"Lakeside Drive, Park Royal, London NW10",51.531087,-0.285801,9/2/2021,2,2,0,0,1,0,0,2,2,1,flat,160
690000,3 bed flat for sale ,"Bollo Lane, Acton, London W3",51.501862,-0.278201,9/2/2021,3,2,"1,051",0,0,0,0,3,2,0,flat,161
525000,5 bed semi-detached house for sale ,"Totnes Road, Welling DA16",51.474587,0.114884,9/2/2021,5,0,0,1,0,2,0,5,1,2,semi-detached house,162
5e+05,2 bed flat for sale ,"Sydney Road, Enfield EN2",51.649114,-0.081239,9/2/2021,2,2,0,0,1,0,0,2,2,1,flat,163
450000,3 bed maisonette for sale ,"Lordship Lane, London N22",51.598354,-0.096573,9/2/2021,3,0,0,1,1,0,0,3,1,1,maisonette,164
